0 0
1 36
8.00000E-02 1.562E-01 1.826E-02
1.00000E-01 1.486E-01 2.047E-02
1.50000E-01 1.336E-01 2.424E-02
2.00000E-01 1.224E-01 2.647E-02
3.00000E-01 1.064E-01 2.868E-02
4.00000E-01 9.535E-02 2.951E-02
5.00000E-01 8.707E-02 2.971E-02
6.00000E-01 8.054E-02 2.959E-02
8.00000E-01 7.076E-02 2.890E-02
1.00000E+00 6.362E-02 2.797E-02
1.25000E+00 5.688E-02 2.674E-02
1.50000E+00 5.173E-02 2.555E-02
2.00000E+00 4.422E-02 2.343E-02
3.00000E+00 3.503E-02 2.019E-02
4.00000E+00 2.949E-02 1.790E-02
5.00000E+00 2.577E-02 1.622E-02
6.00000E+00 2.307E-02 1.493E-02
8.00000E+00 1.940E-02 1.308E-02
1.00000E+01 1.703E-02 1.183E-02
1.50000E+01 1.363E-02 9.948E-03
2.00000E+01 1.183E-02 8.914E-03
3 36
1.00000E-03 2.339E+02 2.335E+02
1.50000E-03 6.668E+01 6.629E+01
2.00000E-03 2.707E+01 2.672E+01
3.00000E-03 7.549E+00 7.249E+00
4.00000E-03 3.114E+00 2.840E+00
5.00000E-03 1.619E+00 1.364E+00
6.00000E-03 9.875E-01 7.477E-01
8.00000E-03 5.054E-01 2.888E-01
1.00000E-02 3.395E-01 1.387E-01
1.50000E-02 2.176E-01 3.910E-02
2.00000E-02 1.856E-01 1.885E-02
3.00000E-02 1.644E-01 1.138E-02
4.00000E-02 1.551E-01 1.131E-02
5.00000E-02 1.488E-01 1.237E-02
6.00000E-02 1.438E-01 1.361E-02
8.00000E-02 1.356E-01 1.588E-02
1.00000E-01 1.289E-01 1.776E-02
1.50000E-01 1.158E-01 2.098E-02
2.00000E-01 1.060E-01 2.290E-02
3.00000E-01 9.210E-02 2.481E-02
4.00000E-01 8.249E-02 2.552E-02
5.00000E-01 7.532E-02 2.569E-02
6.00000E-01 6.968E-02 2.559E-02
8.00000E-01 6.121E-02 2.499E-02
1.00000E+00 5.503E-02 2.419E-02
1.25000E+00 4.921E-02 2.312E-02
1.50000E+00 4.476E-02 2.210E-02
2.00000E+00 3.830E-02 2.028E-02
3.00000E+00 3.043E-02 1.753E-02
4.00000E+00 2.572E-02 1.561E-02
5.00000E+00 2.257E-02 1.422E-02
6.00000E+00 2.030E-02 1.316E-02
8.00000E+00 1.725E-02 1.167E-02
1.00000E+01 1.529E-02 1.066E-02
1.50000E+01 1.252E-02 9.182E-03
2.00000E+01 1.109E-02 8.385E-03
4 36
1.00000E-03 6.041E+02 6.035E+02
1.50000E-03 1.797E+02 1.791E+02
2.00000E-03 7.469E+01 7.422E+01
3.00000E-03 2.127E+01 2.090E+01
4.00000E-03 8.685E+00 8.367E+00
5.00000E-03 4.369E+00 4.081E+00
6.00000E-03 2.527E+00 2.260E+00
8.00000E-03 1.124E+00 8.839E-01
1.00000E-02 6.466E-01 4.255E-01
1.50000E-02 3.070E-01 1.143E-01
2.00000E-02 2.251E-01 4.780E-02
3.00000E-02 1.792E-01 1.898E-02
4.00000E-02 1.640E-01 1.438E-02
5.00000E-02 1.554E-01 1.401E-02
6.00000E-02 1.493E-01 1.468E-02
8.00000E-02 1.401E-01 1.658E-02
1.00000E-01 1.328E-01 1.836E-02
1.50000E-01 1.190E-01 2.157E-02
2.00000E-01 1.089E-01 2.353E-02
3.00000E-01 9.463E-02 2.548E-02
4.00000E-01 8.471E-02 2.620E-02
5.00000E-01 7.739E-02 2.639E-02
6.00000E-01 7.155E-02 2.627E-02
8.00000E-01 6.286E-02 2.565E-02
1.00000E+00 5.652E-02 2.483E-02
1.25000E+00 5.054E-02 2.373E-02
1.50000E+00 4.597E-02 2.268E-02
2.00000E+00 3.938E-02 2.083E-02
3.00000E+00 3.138E-02 1.806E-02
4.00000E+00 2.664E-02 1.617E-02
5.00000E+00 2.347E-02 1.479E-02
6.00000E+00 2.121E-02 1.377E-02
8.00000E+00 1.819E-02 1.233E-02
1.00000E+01 1.627E-02 1.138E-02
1.50000E+01 1.361E-02 1.001E-02
2.00000E+01 1.227E-02 9.294E-03
5 36
1.00000E-03 1.229E+03 1.228E+03
1.50000E-03 3.766E+02 3.759E+02
2.00000E-03 1.597E+02 1.591E+02
3.00000E-03 4.667E+01 4.617E+01
4.00000E-03 1.927E+01 1.886E+01
5.00000E-03 9.683E+00 9.332E+00
6.00000E-03 5.538E+00 5.223E+00
8.00000E-03 2.346E+00 2.072E+00
1.00000E-02 1.255E+00 1.006E+00
1.50000E-02 4.827E-01 2.698E-01
2.00000E-02 3.014E-01 1.084E-01
3.00000E-02 2.063E-01 3.506E-02
4.00000E-02 1.793E-01 2.084E-02
5.00000E-02 1.665E-01 1.737E-02
6.00000E-02 1.583E-01 1.680E-02
8.00000E-02 1.472E-01 1.785E-02
1.00000E-01 1.391E-01 1.940E-02
1.50000E-01 1.243E-01 2.255E-02
2.00000E-01 1.136E-01 2.453E-02
3.00000E-01 9.862E-02 2.654E-02
4.00000E-01 8.834E-02 2.731E-02
5.00000E-01 8.065E-02 2.749E-02
6.00000E-01 7.460E-02 2.737E-02
8.00000E-01 6.549E-02 2.671E-02
1.00000E+00 5.890E-02 2.586E-02
1.25000E+00 5.266E-02 2.472E-02
1.50000E+00 4.791E-02 2.362E-02
2.00000E+00 4.108E-02 2.171E-02
3.00000E+00 3.284E-02 1.889E-02
4.00000E+00 2.798E-02 1.698E-02
5.00000E+00 2.476E-02 1.562E-02
6.00000E+00 2.248E-02 1.461E-02
8.00000E+00 1.945E-02 1.322E-02
1.00000E+01 1.755E-02 1.232E-02
1.50000E+01 1.495E-02 1.104E-02
2.00000E+01 1.368E-02 1.039E-02
6 36
1.00000E-03 2.211E+03 2.209E+03
1.50000E-03 7.002E+02 6.990E+02
2.00000E-03 3.026E+02 3.016E+02
3.00000E-03 9.033E+01 8.963E+01
4.00000E-03 3.778E+01 3.723E+01
5.00000E-03 1.912E+01 1.866E+01
6.00000E-03 1.095E+01 1.054E+01
8.00000E-03 4.576E+00 4.242E+00
1.00000E-02 2.373E+00 2.078E+00
1.50000E-02 8.071E-01 5.627E-01
2.00000E-02 4.420E-01 2.238E-01
3.00000E-02 2.562E-01 6.614E-02
4.00000E-02 2.076E-01 3.343E-02
5.00000E-02 1.871E-01 2.397E-02
6.00000E-02 1.753E-01 2.098E-02
8.00000E-02 1.610E-01 2.037E-02
1.00000E-01 1.514E-01 2.147E-02
1.50000E-01 1.347E-01 2.449E-02
2.00000E-01 1.229E-01 2.655E-02
3.00000E-01 1.066E-01 2.870E-02
4.00000E-01 9.546E-02 2.950E-02
5.00000E-01 8.715E-02 2.969E-02
6.00000E-01 8.058E-02 2.956E-02
8.00000E-01 7.076E-02 2.885E-02
1.00000E+00 6.361E-02 2.792E-02
1.25000E+00 5.690E-02 2.669E-02
1.50000E+00 5.179E-02 2.551E-02
2.00000E+00 4.442E-02 2.345E-02
3.00000E+00 3.562E-02 2.048E-02
4.00000E+00 3.047E-02 1.849E-02
5.00000E+00 2.708E-02 1.710E-02
6.00000E+00 2.469E-02 1.607E-02
8.00000E+00 2.154E-02 1.468E-02
1.00000E+01 1.959E-02 1.380E-02
1.50000E+01 1.698E-02 1.258E-02
2.00000E+01 1.575E-02 1.198E-02
7 36
1.00000E-03 3.311E+03 3.306E+03
1.50000E-03 1.083E+03 1.080E+03
2.00000E-03 4.769E+02 4.755E+02
3.00000E-03 1.456E+02 1.447E+02
4.00000E-03 6.166E+01 6.094E+01
5.00000E-03 3.144E+01 3.086E+01
6.00000E-03 1.809E+01 1.759E+01
8.00000E-03 7.562E+00 7.170E+00
1.00000E-02 3.879E+00 3.545E+00
1.50000E-02 1.236E+00 9.715E-01
2.00000E-02 6.178E-01 3.867E-01
3.00000E-02 3.066E-01 1.099E-01
4.00000E-02 2.288E-01 5.051E-02
5.00000E-02 1.980E-01 3.217E-02
6.00000E-02 1.817E-01 2.548E-02
8.00000E-02 1.639E-01 2.211E-02
1.00000E-01 1.529E-01 2.231E-02
1.50000E-01 1.353E-01 2.472E-02
2.00000E-01 1.233E-01 2.665E-02
3.00000E-01 1.068E-01 2.873E-02
4.00000E-01 9.557E-02 2.952E-02
5.00000E-01 8.719E-02 2.969E-02
6.00000E-01 8.063E-02 2.956E-02
8.00000E-01 7.081E-02 2.886E-02
1.00000E+00 6.364E-02 2.792E-02
1.25000E+00 5.693E-02 2.669E-02
1.50000E+00 5.180E-02 2.550E-02
2.00000E+00 4.450E-02 2.347E-02
3.00000E+00 3.579E-02 2.057E-02
4.00000E+00 3.073E-02 1.867E-02
5.00000E+00 2.742E-02 1.734E-02
6.00000E+00 2.511E-02 1.639E-02
8.00000E+00 2.209E-02 1.512E-02
1.00000E+01 2.024E-02 1.434E-02
1.50000E+01 1.782E-02 1.332E-02
2.00000E+01 1.673E-02 1.285E-02
8 36
1.00000E-03 4.590E+03 4.576E+03
1.50000E-03 1.549E+03 1.545E+03
2.00000E-03 6.949E+02 6.926E+02
3.00000E-03 2.171E+02 2.158E+02
4.00000E-03 9.315E+01 9.221E+01
5.00000E-03 4.790E+01 4.715E+01
6.00000E-03 2.770E+01 2.708E+01
8.00000E-03 1.163E+01 1.116E+01
1.00000E-02 5.952E+00 5.565E+00
1.50000E-02 1.836E+00 1.545E+00
2.00000E-02 8.651E-01 6.179E-01
3.00000E-02 3.779E-01 1.729E-01
4.00000E-02 2.585E-01 7.530E-02
5.00000E-02 2.132E-01 4.414E-02
6.00000E-02 1.907E-01 3.207E-02
8.00000E-02 1.678E-01 2.468E-02
1.00000E-01 1.551E-01 2.355E-02
1.50000E-01 1.361E-01 2.506E-02
2.00000E-01 1.237E-01 2.679E-02
3.00000E-01 1.070E-01 2.877E-02
4.00000E-01 9.566E-02 2.953E-02
5.00000E-01 8.729E-02 2.971E-02
6.00000E-01 8.070E-02 2.957E-02
8.00000E-01 7.087E-02 2.887E-02
1.00000E+00 6.372E-02 2.794E-02
1.25000E+00 5.697E-02 2.669E-02
1.50000E+00 5.185E-02 2.551E-02
2.00000E+00 4.459E-02 2.350E-02
3.00000E+00 3.597E-02 2.066E-02
4.00000E+00 3.100E-02 1.882E-02
5.00000E+00 2.777E-02 1.757E-02
6.00000E+00 2.552E-02 1.668E-02
8.00000E+00 2.263E-02 1.553E-02
1.00000E+01 2.089E-02 1.483E-02
1.50000E+01 1.866E-02 1.396E-02
2.00000E+01 1.770E-02 1.360E-02
9 36
1.00000E-03 5.649E+03 5.615E+03
1.50000E-03 1.979E+03 1.969E+03
2.00000E-03 9.047E+02 9.005E+02
3.00000E-03 2.888E+02 2.870E+02
4.00000E-03 1.256E+02 1.244E+02
5.00000E-03 6.514E+01 6.424E+01
6.00000E-03 3.789E+01 3.716E+01
8.00000E-03 1.602E+01 1.548E+01
1.00000E-02 8.205E+00 7.776E+00
1.50000E-02 2.492E+00 2.186E+00
2.00000E-02 1.133E+00 8.796E-01
3.00000E-02 4.487E-01 2.451E-01
4.00000E-02 2.828E-01 1.036E-01
5.00000E-02 2.214E-01 5.747E-02
6.00000E-02 1.920E-01 3.903E-02
8.00000E-02 1.639E-01 2.676E-02
1.00000E-01 1.496E-01 2.394E-02
1.50000E-01 1.298E-01 2.417E-02
2.00000E-01 1.176E-01 2.554E-02
3.00000E-01 1.015E-01 2.729E-02
4.00000E-01 9.073E-02 2.800E-02
5.00000E-01 8.274E-02 2.815E-02
6.00000E-01 7.649E-02 2.801E-02
8.00000E-01 6.717E-02 2.734E-02
1.00000E+00 6.037E-02 2.645E-02
1.25000E+00 5.399E-02 2.527E-02
1.50000E+00 4.915E-02 2.416E-02
2.00000E+00 4.228E-02 2.226E-02
3.00000E+00 3.422E-02 1.964E-02
4.00000E+00 2.960E-02 1.797E-02
5.00000E+00 2.663E-02 1.685E-02
6.00000E+00 2.457E-02 1.607E-02
8.00000E+00 2.195E-02 1.508E-02
1.00000E+01 2.039E-02 1.451E-02
1.50000E+01 1.846E-02 1.382E-02
2.00000E+01 1.769E-02 1.357E-02
10 36
1.00000E-03 7.409E+03 7.326E+03
1.50000E-03 2.666E+03 2.645E+03
2.00000E-03 1.243E+03 1.234E+03
3.00000E-03 4.051E+02 4.021E+02
4.00000E-03 1.785E+02 1.767E+02
5.00000E-03 9.339E+01 9.214E+01
6.00000E-03 5.467E+01 5.369E+01
8.00000E-03 2.328E+01 2.260E+01
1.00000E-02 1.197E+01 1.143E+01
1.50000E-02 3.613E+00 3.253E+00
2.00000E-02 1.606E+00 1.317E+00
3.00000E-02 5.923E-01 3.676E-01
4.00000E-02 3.473E-01 1.528E-01
5.00000E-02 2.579E-01 8.182E-02
6.00000E-02 2.161E-01 5.287E-02
8.00000E-02 1.781E-01 3.273E-02
1.00000E-01 1.600E-01 2.733E-02
1.50000E-01 1.370E-01 2.590E-02
2.00000E-01 1.236E-01 2.697E-02
3.00000E-01 1.064E-01 2.862E-02
4.00000E-01 9.502E-02 2.931E-02
5.00000E-01 8.664E-02 2.946E-02
6.00000E-01 8.006E-02 2.930E-02
8.00000E-01 7.029E-02 2.860E-02
1.00000E+00 6.316E-02 2.766E-02
1.25000E+00 5.646E-02 2.641E-02
1.50000E+00 5.145E-02 2.526E-02
2.00000E+00 4.430E-02 2.330E-02
3.00000E+00 3.594E-02 2.061E-02
4.00000E+00 3.122E-02 1.894E-02
5.00000E+00 2.818E-02 1.784E-02
6.00000E+00 2.610E-02 1.709E-02
8.00000E+00 2.348E-02 1.616E-02
1.00000E+01 2.197E-02 1.564E-02
1.50000E+01 2.013E-02 1.508E-02
2.00000E+01 1.946E-02 1.491E-02
11 39
1.00000E-03 6.542E+02 6.522E+02
1.03542E-03 5.960E+02 5.941E+02
1.07210E-03 5.429E+02 5.410E+02
1.07210E-03 6.435E+03 6.320E+03
1.50000E-03 3.194E+03 3.151E+03
2.00000E-03 1.521E+03 1.504E+03
3.00000E-03 5.070E+02 5.023E+02
4.00000E-03 2.261E+02 2.238E+02
5.00000E-03 1.194E+02 1.178E+02
6.00000E-03 7.030E+01 6.915E+01
8.00000E-03 3.018E+01 2.941E+01
1.00000E-02 1.557E+01 1.499E+01
1.50000E-02 4.694E+00 4.313E+00
2.00000E-02 2.057E+00 1.759E+00
3.00000E-02 7.197E-01 4.928E-01
4.00000E-02 3.969E-01 2.031E-01
5.00000E-02 2.804E-01 1.063E-01
6.00000E-02 2.268E-01 6.625E-02
8.00000E-02 1.796E-01 3.761E-02
1.00000E-01 1.585E-01 2.931E-02
1.50000E-01 1.335E-01 2.579E-02
2.00000E-01 1.199E-01 2.635E-02
3.00000E-01 1.029E-01 2.771E-02
4.00000E-01 9.185E-02 2.833E-02
5.00000E-01 8.372E-02 2.845E-02
6.00000E-01 7.736E-02 2.830E-02
8.00000E-01 6.788E-02 2.760E-02
1.00000E+00 6.100E-02 2.669E-02
1.25000E+00 5.454E-02 2.549E-02
1.50000E+00 4.968E-02 2.437E-02
2.00000E+00 4.282E-02 2.249E-02
3.00000E+00 3.487E-02 1.997E-02
4.00000E+00 3.037E-02 1.842E-02
5.00000E+00 2.753E-02 1.743E-02
6.00000E+00 2.559E-02 1.675E-02
8.00000E+00 2.319E-02 1.595E-02
1.00000E+01 2.181E-02 1.552E-02
1.50000E+01 2.023E-02 1.508E-02
2.00000E+01 1.970E-02 1.496E-02
12 39
1.00000E-03 9.225E+02 9.203E+02
1.14237E-03 6.474E+02 6.452E+02
1.30500E-03 4.530E+02 4.509E+02
1.30500E-03 5.444E+03 5.310E+03
1.50000E-03 4.004E+03 3.918E+03
2.00000E-03 1.932E+03 1.899E+03
3.00000E-03 6.585E+02 6.499E+02
4.00000E-03 2.974E+02 2.937E+02
5.00000E-03 1.583E+02 1.561E+02
6.00000E-03 9.381E+01 9.227E+01
8.00000E-03 4.061E+01 3.965E+01
1.00000E-02 2.105E+01 2.036E+01
1.50000E-02 6.358E+00 5.925E+00
2.00000E-02 2.763E+00 2.432E+00
3.00000E-02 9.306E-01 6.855E-01
4.00000E-02 4.881E-01 2.815E-01
5.00000E-02 3.292E-01 1.451E-01
6.00000E-02 2.570E-01 8.820E-02
8.00000E-02 1.951E-01 4.671E-02
1.00000E-01 1.686E-01 3.410E-02
1.50000E-01 1.394E-01 2.766E-02
2.00000E-01 1.245E-01 2.761E-02
3.00000E-01 1.065E-01 2.871E-02
4.00000E-01 9.492E-02 2.928E-02
5.00000E-01 8.647E-02 2.938E-02
6.00000E-01 7.988E-02 2.921E-02
8.00000E-01 7.008E-02 2.848E-02
1.00000E+00 6.296E-02 2.753E-02
1.25000E+00 5.629E-02 2.629E-02
1.50000E+00 5.129E-02 2.514E-02
2.00000E+00 4.426E-02 2.322E-02
3.00000E+00 3.613E-02 2.067E-02
4.00000E+00 3.159E-02 1.915E-02
5.00000E+00 2.873E-02 1.819E-02
6.00000E+00 2.681E-02 1.756E-02
8.00000E+00 2.445E-02 1.683E-02
1.00000E+01 2.313E-02 1.646E-02
1.50000E+01 2.168E-02 1.614E-02
2.00000E+01 2.127E-02 1.609E-02
13 38
1.00000E-03 1.185E+03 1.183E+03
1.50000E-03 4.022E+02 4.001E+02
1.55960E-03 3.621E+02 3.600E+02
1.55960E-03 3.957E+03 3.829E+03
2.00000E-03 2.263E+03 2.204E+03
3.00000E-03 7.880E+02 7.732E+02
4.00000E-03 3.605E+02 3.545E+02
5.00000E-03 1.934E+02 1.902E+02
6.00000E-03 1.153E+02 1.133E+02
8.00000E-03 5.033E+01 4.918E+01
1.00000E-02 2.623E+01 2.543E+01
1.50000E-02 7.955E+00 7.487E+00
2.00000E-02 3.441E+00 3.094E+00
3.00000E-02 1.128E+00 8.778E-01
4.00000E-02 5.685E-01 3.601E-01
5.00000E-02 3.681E-01 1.840E-01
6.00000E-02 2.778E-01 1.099E-01
8.00000E-02 2.018E-01 5.511E-02
1.00000E-01 1.704E-01 3.794E-02
1.50000E-01 1.378E-01 2.827E-02
2.00000E-01 1.223E-01 2.745E-02
3.00000E-01 1.042E-01 2.816E-02
4.00000E-01 9.276E-02 2.862E-02
5.00000E-01 8.445E-02 2.868E-02
6.00000E-01 7.802E-02 2.851E-02
8.00000E-01 6.841E-02 2.778E-02
1.00000E+00 6.146E-02 2.686E-02
1.25000E+00 5.496E-02 2.565E-02
1.50000E+00 5.006E-02 2.451E-02
2.00000E+00 4.324E-02 2.266E-02
3.00000E+00 3.541E-02 2.024E-02
4.00000E+00 3.106E-02 1.882E-02
5.00000E+00 2.836E-02 1.795E-02
6.00000E+00 2.655E-02 1.739E-02
8.00000E+00 2.437E-02 1.678E-02
1.00000E+01 2.318E-02 1.650E-02
1.50000E+01 2.195E-02 1.631E-02
2.00000E+01 2.168E-02 1.633E-02
14 38
1.00000E-03 1.570E+03 1.567E+03
1.50000E-03 5.355E+02 5.331E+02
1.83890E-03 3.092E+02 3.070E+02
1.83890E-03 3.192E+03 3.059E+03
2.00000E-03 2.777E+03 2.669E+03
3.00000E-03 9.784E+02 9.516E+02
4.00000E-03 4.529E+02 4.427E+02
5.00000E-03 2.450E+02 2.400E+02
6.00000E-03 1.470E+02 1.439E+02
8.00000E-03 6.468E+01 6.313E+01
1.00000E-02 3.389E+01 3.289E+01
1.50000E-02 1.034E+01 9.794E+00
2.00000E-02 4.464E+00 4.076E+00
3.00000E-02 1.436E+00 1.164E+00
4.00000E-02 7.012E-01 4.782E-01
5.00000E-02 4.385E-01 2.430E-01
6.00000E-02 3.207E-01 1.434E-01
8.00000E-02 2.228E-01 6.896E-02
1.00000E-01 1.835E-01 4.513E-02
1.50000E-01 1.448E-01 3.086E-02
2.00000E-01 1.275E-01 2.905E-02
3.00000E-01 1.082E-01 2.932E-02
4.00000E-01 9.614E-02 2.968E-02
5.00000E-01 8.748E-02 2.971E-02
6.00000E-01 8.077E-02 2.951E-02
8.00000E-01 7.082E-02 2.875E-02
1.00000E+00 6.361E-02 2.778E-02
1.25000E+00 5.688E-02 2.652E-02
1.50000E+00 5.183E-02 2.535E-02
2.00000E+00 4.480E-02 2.345E-02
3.00000E+00 3.678E-02 2.101E-02
4.00000E+00 3.240E-02 1.963E-02
5.00000E+00 2.967E-02 1.878E-02
6.00000E+00 2.788E-02 1.827E-02
8.00000E+00 2.574E-02 1.773E-02
1.00000E+01 2.462E-02 1.753E-02
1.50000E+01 2.352E-02 1.746E-02
2.00000E+01 2.338E-02 1.757E-02
15 38
1.00000E-03 1.913E+03 1.910E+03
1.50000E-03 6.547E+02 6.522E+02
2.00000E-03 3.018E+02 2.996E+02
2.14550E-03 2.494E+02 2.473E+02
2.14550E-03 2.473E+03 2.343E+03
3.00000E-03 1.118E+03 1.074E+03
4.00000E-03 5.242E+02 5.079E+02
5.00000E-03 2.860E+02 2.782E+02
6.00000E-03 1.726E+02 1.682E+02
8.00000E-03 7.660E+01 7.457E+01
1.00000E-02 4.035E+01 3.912E+01
1.50000E-02 1.239E+01 1.179E+01
2.00000E-02 5.352E+00 4.939E+00
3.00000E-02 1.700E+00 1.422E+00
4.00000E-02 8.096E-01 5.850E-01
5.00000E-02 4.916E-01 2.965E-01
6.00000E-02 3.494E-01 1.735E-01
8.00000E-02 2.324E-01 8.083E-02
1.00000E-01 1.865E-01 5.068E-02
1.50000E-01 1.432E-01 3.188E-02
2.00000E-01 1.250E-01 2.899E-02
3.00000E-01 1.055E-01 2.870E-02
4.00000E-01 9.359E-02 2.892E-02
5.00000E-01 8.511E-02 2.891E-02
6.00000E-01 7.854E-02 2.869E-02
8.00000E-01 6.884E-02 2.793E-02
1.00000E+00 6.182E-02 2.698E-02
1.25000E+00 5.526E-02 2.575E-02
1.50000E+00 5.039E-02 2.462E-02
2.00000E+00 4.358E-02 2.279E-02
3.00000E+00 3.590E-02 2.049E-02
4.00000E+00 3.172E-02 1.921E-02
5.00000E+00 2.915E-02 1.846E-02
6.00000E+00 2.747E-02 1.801E-02
8.00000E+00 2.552E-02 1.760E-02
1.00000E+01 2.452E-02 1.747E-02
1.50000E+01 2.364E-02 1.754E-02
2.00000E+01 2.363E-02 1.771E-02
16 38
1.00000E-03 2.429E+03 2.426E+03
1.50000E-03 8.342E+02 8.314E+02
2.00000E-03 3.853E+02 3.828E+02
2.47200E-03 2.168E+02 2.145E+02
2.47200E-03 2.070E+03 1.935E+03
3.00000E-03 1.339E+03 1.265E+03
4.00000E-03 6.338E+02 6.066E+02
5.00000E-03 3.487E+02 3.360E+02
6.00000E-03 2.116E+02 2.046E+02
8.00000E-03 9.465E+01 9.171E+01
1.00000E-02 5.012E+01 4.847E+01
1.50000E-02 1.550E+01 1.477E+01
2.00000E-02 6.708E+00 6.235E+00
3.00000E-02 2.113E+00 1.809E+00
4.00000E-02 9.872E-01 7.466E-01
5.00000E-02 5.849E-01 3.779E-01
6.00000E-02 4.053E-01 2.199E-01
8.00000E-02 2.585E-01 1.000E-01
1.00000E-01 2.020E-01 6.052E-02
1.50000E-01 1.506E-01 3.516E-02
2.00000E-01 1.302E-01 3.080E-02
3.00000E-01 1.091E-01 2.983E-02
4.00000E-01 9.665E-02 2.991E-02
5.00000E-01 8.781E-02 2.984E-02
6.00000E-01 8.102E-02 2.959E-02
8.00000E-01 7.098E-02 2.878E-02
1.00000E+00 6.373E-02 2.780E-02
1.25000E+00 5.697E-02 2.652E-02
1.50000E+00 5.193E-02 2.535E-02
2.00000E+00 4.498E-02 2.349E-02
3.00000E+00 3.715E-02 2.118E-02
4.00000E+00 3.293E-02 1.993E-02
5.00000E+00 3.036E-02 1.923E-02
6.00000E+00 2.872E-02 1.884E-02
8.00000E+00 2.682E-02 1.850E-02
1.00000E+01 2.589E-02 1.845E-02
1.50000E+01 2.517E-02 1.864E-02
2.00000E+01 2.529E-02 1.889E-02
17 38
1.00000E-03 2.832E+03 2.829E+03
1.50000E-03 9.771E+02 9.742E+02
2.00000E-03 4.520E+02 4.494E+02
2.82240E-03 1.774E+02 1.752E+02
2.82240E-03 1.637E+03 1.506E+03
3.00000E-03 1.473E+03 1.361E+03
4.00000E-03 7.037E+02 6.626E+02
5.00000E-03 3.901E+02 3.711E+02
6.00000E-03 2.384E+02 2.282E+02
8.00000E-03 1.075E+02 1.034E+02
1.00000E-02 5.725E+01 5.510E+01
1.50000E-02 1.784E+01 1.700E+01
2.00000E-02 7.739E+00 7.227E+00
3.00000E-02 2.425E+00 2.114E+00
4.00000E-02 1.117E+00 8.756E-01
5.00000E-02 6.483E-01 4.433E-01
6.00000E-02 4.395E-01 2.570E-01
8.00000E-02 2.696E-01 1.148E-01
1.00000E-01 2.050E-01 6.745E-02
1.50000E-01 1.480E-01 3.639E-02
2.00000E-01 1.266E-01 3.067E-02
3.00000E-01 1.054E-01 2.898E-02
4.00000E-01 9.311E-02 2.887E-02
5.00000E-01 8.453E-02 2.874E-02
6.00000E-01 7.795E-02 2.847E-02
8.00000E-01 6.826E-02 2.767E-02
1.00000E+00 6.128E-02 2.671E-02
1.25000E+00 5.478E-02 2.549E-02
1.50000E+00 4.994E-02 2.436E-02
2.00000E+00 4.328E-02 2.258E-02
3.00000E+00 3.585E-02 2.043E-02
4.00000E+00 3.188E-02 1.931E-02
5.00000E+00 2.950E-02 1.871E-02
6.00000E+00 2.798E-02 1.839E-02
8.00000E+00 2.628E-02 1.819E-02
1.00000E+01 2.549E-02 1.824E-02
1.50000E+01 2.496E-02 1.861E-02
2.00000E+01 2.520E-02 1.899E-02
18 38
1.00000E-03 3.184E+03 3.180E+03
1.50000E-03 1.105E+03 1.102E+03
2.00000E-03 5.120E+02 5.093E+02
3.00000E-03 1.703E+02 1.682E+02
